person_id,name,legal_balls,cricinfo_id,bowling_style,source
e186f49c,Mashrafe Mortaza,24,56007,pace,web
c27b5a0e,PVSN Raju,24,1392201,pace,web
441c72ae,P Ray Barman,24,1159712,spin,web
8dc152d1,Duan Jansen,24,595954,pace,web
b822e99c,NB Singh,24,853259,pace,web
2e9fdf9b,DAJ Bracewell,24,362541,pace,web
97290faf,S Joseph,24,1356971,pace,web
d4d929b0,V Kaverappa,24,1155262,pace,web
0bf15e52,Harmeet Singh (2),24,422847,spin,web
611926bc,GR Napier,24,17991,pace,web
fdf7491e,IC Porel,24,967603,pace,web
5b16a806,A Dananjaya,24,574178,spin,web
b0482a1d,Tilak Varma,22,1170265,spin,web
c28e9f12,Tejas Baroka,21,1082859,spin,web
8998a68f,Sumit Kumar,20,1159734,pace,web
86ae8ef2,MB Parmar,18,240734,spin,web-search
39f82db3,DJ Harris,18,5583,pace,web
970ddd24,Suryansh Shedge,18,1339698,pace,web
64a4c383,S Sriram,18,34118,spin,web
1a156c88,DJM Short,18,308798,spin,web
249abedf,Jalaj S Saxena,18,237199,spin,web
7dcb9bc9,M Shahrukh Khan,18,719719,spin,web
60500956,RV Patel,18,1201520,pace,web
f0af99a7,D Ferreira,18,698315,spin,web
650d5e49,R Powell,18,820351,pace,web
6042bf26,NJ Rimmington,18,7443,pace,web
ee3dfa89,Sunny Gupta,18,271315,spin,web
b720a5d6,DB Ravi Teja,18,237701,spin,web
1cb14aa4,CJ Dala,18,545467,pace,web
dee07622,RS Ghosh,18,1339053,pace,web-search
d3611425,LI Meriwala,18,573930,pace,web
99258814,Gurnoor Brar,18,1287033,pace,web
d027ba9f,KS Williamson,18,277906,spin,web
1b7b0fa7,Vivrant Sharma,18,1252370,spin,web
89f64c19,LMP Simmons,18,53116,pace,web
67af6f81,RW Price,18,55698,spin,web
2503e881,A Nel,18,46569,pace,web
cfad138c,CK Kapugedera,17,209457,pace,web
19b9f399,CJ Green,17,787073,spin,web
d1a60072,N Wadhera,17,1151273,spin,web
90edaaa9,S Rana,16,33757,pace,web
21ac077a,RR Bose,12,27572,pace,web
ade90de7,S Midhun,12,1131619,spin,web
a343262c,JE Root,12,303669,spin,web
e148e6bd,PR Veer,12,1403197,spin,web
33ffc3dd,R Sanjay Yadav,12,1048841,spin,web
51ec3919,T Vijay,12,1292527,spin,web-search
fb24e76c,Monu Kumar,12,694209,pace,web
7d3720ba,RR Bhatkal,12,27150,pace,web
d621b427,Musheer Khan,12,1316430,spin,web
9a5f2863,Mohit Rathee,12,1349361,spin,web-search
c15e2193,FY Fazal,12,28671,pace,web
af2c687b,C Munro,12,232359,pace,web
b61a3e1a,LRPL Taylor,12,38699,spin,web
888e32bf,Abdur Razzak,12,56283,spin,web
c3a96caf,Mandeep Singh,12,398506,pace,web
ba5e1069,R Ravindra,12,959767,spin,web
16605a1b,AA Kazi,12,422106,spin,web
756389bd,S Vidyut,12,35619,spin,web
dc9dd038,Sachin Baby,10,432783,spin,web
29e95537,AM Rahane,6,277916,spin,web
bae11797,Y Gnaneswara Rao,6,28830,pace,web
3355b542,F du Plessis,6,44828,spin,web
f1f99156,TH David,6,892749,spin,web
ddb00822,P Prasanth,6,32211,spin,web
798934ea,C Ganapathy,6,28764,pace,web
