franchise_season_id,squad,person_id,name,matches,stumpings,catches,catch_rank,balls_bowled,keeper_elsewhere,cricinfo_id,kept
134,2011 Rajasthan Royals,063b3673,DH Yagnik,7,4,3,1,0,y,36071,y
134,2011 Rajasthan Royals,0aadc906,PR Shah,2,1,0,,0,y,34282,y
134,2011 Rajasthan Royals,0184dc35,R Dravid,12,0,2,2,0,,28114,
134,2011 Rajasthan Royals,3a02626a,AG Paunikar,4,0,1,3,0,,324444,
153,2011 Royal Challengers Bangalore,c4487b84,AB de Villiers,16,2,7,1,0,y,44936,y
153,2011 Royal Challengers Bangalore,b63ab531,LA Pomersbach,5,0,5,2,0,,232284,
153,2011 Royal Challengers Bangalore,d84378a4,M Kaif,6,0,5,3,0,,29990,
153,2011 Royal Challengers Bangalore,7daedf2f,KB Arun Karthik,4,0,2,6,0,y,319745,
21,2012 Chennai Super Kings,4a8a2e3b,MS Dhoni,18,2,12,1,0,y,28081,y
21,2012 Chennai Super Kings,4b57e452,M Vijay,14,0,6,2,0,,237095,
21,2012 Chennai Super Kings,48fd7349,MEK Hussey,8,0,4,3,0,,5939,
21,2012 Chennai Super Kings,fe11caa6,WP Saha,2,0,0,,0,y,279810,
38,2012 Deccan Chargers,b5da6c24,PA Patel,13,1,5,2,0,y,32242,y
38,2012 Deccan Chargers,6b71e6cf,KC Sangakkara,12,0,9,1,0,y,50710,
38,2012 Deccan Chargers,5451a2c1,B Chipli,4,0,1,3,0,,27685,
43,2012 Delhi Daredevils,890946a0,NV Ojha,17,2,14,1,0,y,32102,y
43,2012 Delhi Daredevils,d18f9182,DPMD Jayawardene,16,0,6,2,0,,49289,
43,2012 Delhi Daredevils,b61a3e1a,LRPL Taylor,12,0,3,3,0,,38699,
116,2012 Kings XI Punjab,addbde6c,N Saini,10,2,11,1,0,,274785,y
116,2012 Kings XI Punjab,508a1ea7,SE Marsh,13,0,8,2,0,,6683,
116,2012 Kings XI Punjab,2b6e6dec,AC Gilchrist,7,0,5,3,0,y,5390,
116,2012 Kings XI Punjab,6eb146d2,Gurkeerat Singh,4,0,2,5,0,y,537124,
70,2012 Kolkata Knight Riders,b8a55852,BB McCullum,12,6,9,2,0,,37737,y
70,2012 Kolkata Knight Riders,5afd4539,MS Bisla,7,2,6,3,0,y,27280,y
70,2012 Kolkata Knight Riders,26e5cabf,MK Tiwary,16,0,10,1,0,,35565,
94,2012 Mumbai Indians,c03f1114,KD Karthik,16,2,5,1,0,y,30045,y
94,2012 Mumbai Indians,70d205c9,AT Rayudu,15,0,2,2,0,y,33141,
94,2012 Mumbai Indians,18c78b11,RE Levi,6,0,2,3,0,,46148,
94,2012 Mumbai Indians,a84468fe,DJ Jacobs,1,0,1,4,0,y,45782,
110,2012 Pune Warriors,1c17e270,RV Uthappa,16,3,6,1,0,y,35582,y
110,2012 Pune Warriors,c42aaf71,M Manhas,7,0,4,2,0,,31001,
110,2012 Pune Warriors,93b4fc78,MK Pandey,9,0,3,3,0,,290630,
135,2012 Rajasthan Royals,541f85c9,SP Goswami,9,4,4,4,0,y,302579,y
135,2012 Rajasthan Royals,29e95537,AM Rahane,16,0,11,1,0,,277916,
135,2012 Rajasthan Royals,7bf96684,OA Shah,13,0,5,2,0,,20123,
135,2012 Rajasthan Royals,0184dc35,R Dravid,16,0,5,3,0,,28114,
135,2012 Rajasthan Royals,063b3673,DH Yagnik,4,0,2,5,0,y,36071,
154,2012 Royal Challengers Bangalore,c4487b84,AB de Villiers,14,5,4,2,0,y,44936,y
154,2012 Royal Challengers Bangalore,00ea847a,MA Agarwal,13,0,9,1,0,,398438,
154,2012 Royal Challengers Bangalore,709b0bac,SS Tiwary,12,0,3,3,0,,35390,
